"Nome","CÃ³digodo fundo","Setor","PreÃ§o Atual","Liquidez DiÃ¡ria","Dividendo","DividendYield","DY (3M)Acumulado","DY (6M)Acumulado","DY (12M)Acumulado","DY (3M)MÃ©dia","DY (6M)MÃ©dia","DY (12M)MÃ©dia","DY Ano","VariaÃ§Ã£o PreÃ§o","Rentab.PerÃ­odo","Rentab.Acumulada","PatrimÃ´nioLÃ­q.","VPA","P/VPA","DYPatrimonial","VariaÃ§Ã£oPatrimonial","Rentab. Patr.no PerÃ­odo","Rentab. Patr.Acumulada","VacÃ¢nciaFÃ­sica","VacÃ¢nciaFinanceira","QuantidadeAtivos"
"Floripa Shopping","FLRP11","Shoppings","R$ 1.579,97","34.0","R$ 7,73","0,51%","1,46%","2,88%","6,49%","0,49%","0,48%","0,54%","5,79%","3,49%","4,02%","27,36%","R$ 95.679.011,25","R$ 1.599,58","0,99","N/A","N/A","N/A","N/A","0,73%","N/A","1"
"BTG PACTUAL LOGISTICA FDO INV IMOB - FII","BTLG11","LogÃ­stica","R$ 105,30","10188.0","R$ 0,74","0,58%","1,28%","2,42%","4,87%","0,43%","0,40%","0,41%","5,31%","14,43%","15,09%","59,33%","R$ 204.187.464,32","R$ 100,22","1,05","N/A","N/A","N/A","N/A","24,60%","25,70%","6"
"Vinci Shopping Centers","VISC11","Shoppings","R$ 131,00","46039.0","R$ 0,63","0,46%","1,47%","3,50%","6,71%","0,49%","0,58%","0,56%","0,46%","0,00%","0,46%","0,46%","R$ 1.268.833.478,49","R$ 122,87","1,07","N/A","N/A","N/A","N/A","5,20%","N/A","13"
"SP Downtown","SPTW11","Lajes Corporativas","R$ 87,00","9269.0","R$ 0,74","0,84%","2,85%","4,92%","9,14%","0,95%","0,82%","0,76%","0,84%","0,00%","0,84%","0,84%","R$ 141.679.717,76","R$ 78,80","1,10","0,93%","4,75%","5,72%","17,41%","0,00%","N/A","1"
"Malls Brasil Plural","MALL11","Shoppings","R$ 119,20","19882.0","R$ 0,81","0,69%","1,29%","2,83%","6,21%","0,43%","0,47%","0,52%","0,69%","0,00%","0,69%","0,69%","R$ 797.598.787,18","R$ 105,50","1,13","0,34%","3,78%","4,13%","105,51%","2,00%","N/A","7"
"Castello Branco Office Park","CBOP11","Lajes Corporativas","R$ 91,58","5519.0","R$ 0,49","0,51%","1,64%","3,46%","7,44%","0,55%","0,58%","0,62%","0,51%","0,00%","0,51%","0,51%","R$ 120.808.134,55","R$ 85,38","1,07","0,61%","8,20%","8,86%","16,97%","10,37%","11,04%","1"
"Via Parque Shopping","FVPQ11","Shoppings","R$ 213,90","706.0","R$ 1,74","0,79%","2,29%","3,83%","7,36%","0,76%","0,64%","0,61%","0,79%","0,00%","0,79%","0,79%","R$ 602.127.118,60","R$ 215,03","0,99","0,84%","0,23%","1,07%","7,86%","2,40%","N/A","1"
"RB Capital Renda I","FIIP11B","LogÃ­stica","R$ 201,70","1114.0","R$ 3,38","1,62%","2,52%","4,03%","7,58%","0,84%","0,67%","0,63%","1,62%","0,00%","1,62%","1,62%","R$ 181.459.778,86","R$ 195,72","1,03","0,62%","0,53%","1,16%","7,96%","32,00%","20,23%","7"
"VINCI LOGÍSTICA FDO INV IMOB","VILG11","LogÃ­stica","R$ 125,00","31460.0","R$ 0,68","0,49%","1,46%","3,20%","7,53%","0,49%","0,53%","0,63%","0,49%","0,00%","0,49%","0,49%","R$ 480.716.877,30","R$ 109,77","1,14","N/A","N/A","N/A","N/A","0,00%","N/A","8"
"FDO INV IMOB VOTORANTIM SHOPPING","VSHO11","Shoppings","R$ 117,00","452.0","R$ 0,65","0,56%","1,66%","3,49%","7,08%","0,55%","0,58%","0,59%","0,56%","0,00%","0,56%","0,56%","R$ 225.193.998,78","R$ 107,30","1,09","0,61%","0,00%","0,60%","13,14%","5,67%","N/A","3"
